id_clave_prod_serv,clave_prod_serv,cve_segmento,cve_familia,cve_clase,cve_mercancia,descripcion
1,"01010101","01","01","01","01","No existe en el catálogo"
8938,"14101500","14","10","15","00","Materias primas"
8939,"14101501","14","10","15","01","Pulpa de papel"
8940,"14111500","14","11","15","00","Papel de imprenta y papel de escribir"
8941,"14111501","14","11","15","01","Papel cebolla"
8942,"14111502","14","11","15","02","Papel vitela"
8943,"14111503","14","11","15","03","Papel pergamino"
8944,"14111504","14","11","15","04","Papel en formas continuas"
8945,"14111505","14","11","15","05","Papel mimeógrafo"
8946,"14111506","14","11","15","06","Papel para impresión de computadores"
8947,"14111507","14","11","15","07","Papel para impresora o fotocopiadora"
8948,"14111508","14","11","15","08","Papel para fax"
8949,"14111509","14","11","15","09","Papel membreteado"
8950,"14111510","14","11","15","10","Papel para plotter"
8951,"14111511","14","11","15","11","Papel de escritura"
8952,"14111512","14","11","15","12","Papel para gráficos"
8953,"14111513","14","11","15","13","Papel de libro"
8954,"14111514","14","11","15","14","Blocs o cuadernos de papel"
8955,"14111515","14","11","15","15","Papel para sumadora o máquina registradora"
8956,"14111516","14","11","15","16","Repuestos de papel para cuaderno"
8957,"14111518","14","11","15","18","Tarjetas de índice"
8958,"14111519","14","11","15","19","Papeles cartulina"
8959,"14111520","14","11","15","20","Papel secante"
8960,"14111523","14","11","15","23","Papel calcante"
8961,"14111524","14","11","15","24","Papel folio"
8962,"14111525","14","11","15","25","Papel multipropósito"
8963,"14111526","14","11","15","26","Papel libretas o libros de mensajes telefónicos"
8964,"14111527","14","11","15","27","Papel autocopiante"
8965,"14111528","14","11","15","28","Papel magnético"
8966,"14111529","14","11","15","29","Rollos de télex"
8967,"14111530","14","11","15","30","Papel de notas autoadhesivas"
8968,"14111531","14","11","15","31","Papel libros o cuadernos para bitácoras"
8969,"14111532","14","11","15","32","Papel kits de papeles surtidos"
8970,"14111533","14","11","15","33","Papel cuadernillos o formularios de exámenes"
8971,"14111534","14","11","15","34","Papeles para notación musical o manuscritos"
8972,"14111535","14","11","15","35","Papeles para telégrafo"
8973,"14111536","14","11","15","36","Tarjetas de préstamo de bibliotecas"
8974,"14111537","14","11","15","37","Etiquetas de papel"
8975,"14111538","14","11","15","38","Papel digital"
8976,"14111539","14","11","15","39","Papel de monitoreo o calcado o registro médico"
8977,"14111540","14","11","15","40","Papel de estampilla"
8978,"14111541","14","11","15","41","Papel lector de marcas ópticas"
8979,"14111542","14","11","15","42","Papel coreano para papelería"
8980,"14111543","14","11","15","43","Piedra de tinta"
8981,"14111600","14","11","16","00","Papel fantasía"
8982,"14111601","14","11","16","01","Papel o bolsas o cajas de regalo"
8983,"14111604","14","11","16","04","Tarjetas de presentación"
8984,"14111605","14","11","16","05","Tarjetas postales, de saludo o de notas"
8985,"14111606","14","11","16","06","Papel para artes o artesanías"
8986,"14111607","14","11","16","07","Tableros para afiches"
8987,"14111608","14","11","16","08","Certificados de regalo"
8988,"14111609","14","11","16","09","Papel de cubierta"
8989,"14111610","14","11","16","10","Papel de construcción"
8990,"14111611","14","11","16","11","Tarjetas de invitación o de anuncio"
8991,"14111613","14","11","16","13","Papel de pancartas"
8992,"14111614","14","11","16","14","Papel o tejidos de álbum"
8993,"14111615","14","11","16","15","Papeles de afiche"
8994,"14111616","14","11","16","16","Papeles para forrar"
8995,"14111617","14","11","16","17","Papel leathack (verjurado)"
8996,"14111618","14","11","16","18","Papel kent"
8997,"14111700","14","11","17","00","Productos de papel para uso personal"
8998,"14111701","14","11","17","01","Pañuelos faciales"
8999,"14111702","14","11","17","02","Cubiertos de asientos de sanitario"
9000,"14111703","14","11","17","03","Toallas de papel"
9001,"14111704","14","11","17","04","Papel higiénico"
9002,"14111705","14","11","17","05","Servilletas de papel"
9003,"14111706","14","11","17","06","Manteles de papel"
9004,"14111800","14","11","18","00","Papeles de uso comercial"
9005,"14111801","14","11","18","01","Boletas o rollos de boletería"
9006,"14111802","14","11","18","02","Recibos o libros de recibos"
9007,"14111803","14","11","18","03","Comprobantes"
9008,"14111804","14","11","18","04","Facturas o libros de facturas"
9009,"14111805","14","11","18","05","Cheques o chequeras"
9010,"14111806","14","11","18","06","Formularios o cuestionarios de negocios"
9011,"14111807","14","11","18","07","Libros comerciales para múltiples usos"
9012,"14111808","14","11","18","08","Formatos contables o libros de contabilidad"
9013,"14111809","14","11","18","09","Formas o libros de conocimientos de embarque"
9014,"14111810","14","11","18","10","Formatos o libros de personal"
9015,"14111811","14","11","18","11","Formatos o libros de ventas"
9016,"14111812","14","11","18","12","Formatos o libros de inventarios"
9017,"14111813","14","11","18","13","Formatos o libros de correspondencia"
9018,"14111814","14","11","18","14","Formatos o libros de impuestos"
9019,"14111815","14","11","18","15","Tarjetas de identificación"
9020,"14111816","14","11","18","16","Tarjetas de huellas digitales de solicitante"
9021,"14111817","14","11","18","17","Formato de verificación de depósito"
9022,"14111818","14","11","18","18","Papel térmico"
9023,"14111819","14","11","18","19","Formularios p libros de reservas"
9024,"14111820","14","11","18","20","Formas o cupones de juegos de azar"
9025,"14111821","14","11","18","21","Formatos o libros de órdenes"
9026,"14111822","14","11","18","22","Formatos o libros de entregas"
9027,"14111823","14","11","18","23","Formatos o libros de control"
9028,"14111824","14","11","18","24","Libreta de prescripciones farmacéuticas"
9029,"14111825","14","11","18","25","Menú"
9030,"14111826","14","11","18","26","Certificados de nacimiento"
9031,"14111827","14","11","18","27","Certificados de defunción"
9032,"14111828","14","11","18","28","Papelería comercial membreteada"
9033,"14121500","14","12","15","00","Cartón y papel para embalaje"
9034,"14121501","14","12","15","01","Cartón blanqueado"
9035,"14121502","14","12","15","02","Cartón no blanqueado"
9036,"14121503","14","12","15","03","Cartón"
9037,"14121504","14","12","15","04","Papel de empaque"
9038,"14121505","14","12","15","05","Material de fibra"
9039,"14121506","14","12","15","06","Fibra corrugada"
9040,"14121507","14","12","15","07","Papel inhibidor de la corrosión volátil o vci"
9041,"14121600","14","12","16","00","Papel de seda"
9042,"14121601","14","12","16","01","Papel crepé sin blanquear"
9043,"14121602","14","12","16","02","Papel crepé semi blanqueado"
9044,"14121603","14","12","16","03","Pañuelos de papel resistentes a la humedad"
9045,"14121604","14","12","16","04","Pañuelos de papel libres de ácido"
9046,"14121605","14","12","16","05","Pañuelos de papel kraft"
9047,"14121700","14","12","17","00","Papeles laminados"
9048,"14121701","14","12","17","01","Papeles adheridos con película"
9049,"14121702","14","12","17","02","Papeles cilindro o papel pesado multi – capas"
9050,"14121703","14","12","17","03","Hojas de papel aluminio laminado"
9051,"14121800","14","12","18","00","Papeles recubiertos"
9052,"14121801","14","12","18","01","Papeles recubiertos de arcilla"
9053,"14121802","14","12","18","02","Papeles recubiertos de polietileno"
9054,"14121803","14","12","18","03","Papeles recubiertos de poliéster"
9055,"14121804","14","12","18","04","Papeles recubiertos de silicona"
9056,"14121805","14","12","18","05","Papeles recubiertos tratados con látex"
9057,"14121806","14","12","18","06","Papel de parafinado"
9058,"14121807","14","12","18","07","Papel mantequilla"
9059,"14121808","14","12","18","08","Papel para congelador"
9060,"14121809","14","12","18","09","Papel de enmascarar"
9061,"14121810","14","12","18","10","Papeles carbón"
9062,"14121811","14","12","18","11","Papeles de copiado sensibilizados"
9063,"14121812","14","12","18","12","Papel de fotografía"
9064,"14121900","14","12","19","00","Papel prensa y de offset"
9065,"14121901","14","12","19","01","Papel periódico estándar"
9066,"14121902","14","12","19","02","Papel periódico de colores"
9067,"14121903","14","12","19","03","Papel periódico de alto brillo"
9068,"14121904","14","12","19","04","Papel offset"
9069,"14121905","14","12","19","05","Papeles tímpano"
9070,"14122100","14","12","21","00","Papeles de base sin recubrir"
9071,"14122101","14","12","21","01","Papel kraft súper calandrado"
9072,"14122102","14","12","21","02","Papel kraft terminado o satinado en máquina"
9073,"14122103","14","12","21","03","Papel no recubierto no tratado"
9074,"14122104","14","12","21","04","Papel crepé no tratado"
9075,"14122105","14","12","21","05","Papel crepé tratado con látex"
9076,"14122106","14","12","21","06","Papel no recubierto tratado con látex"
9077,"14122107","14","12","21","07","Papel base corrugado"
9078,"14122200","14","12","22","00","Papeles especializados de uso industrial"
9079,"14122201","14","12","22","01","Papel para germinación de semillas"
9080,"14122202","14","12","22","02","Papel para bolsas de te"
9081,"15101500","15","10","15","00","Petróleo y Destilados"
9082,"15101502","15","10","15","02","Kerosene"
9083,"15101503","15","10","15","03","Nafta"
9084,"15101504","15","10","15","04","Combustible de aviación"
9085,"15101505","15","10","15","05","Combustible diesel"
9086,"15101506","15","10","15","06","Gasolina"
9087,"15101507","15","10","15","07","Benceno"
9088,"15101508","15","10","15","08","Petróleo crudo"
9089,"15101509","15","10","15","09","Combustible marítimo"
9090,"15101510","15","10","15","10","Condensado"
9091,"15101511","15","10","15","11","Etanol"
9092,"15101512","15","10","15","12","Coque de petróleo o petcoke"
9093,"15101513","15","10","15","13","Combustible diesel para uso fuera de carretera"
